round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,199
22,199
23,199
24,198
25,197
26,195
27,192
28,192
29,190
30,190
31,189
32,187
33,185
34,184
35,183
36,182
37,181
38,180
39,177
40,176
41,176
42,176
43,174
44,171
45,171
46,169
47,169
48,169
49,167
50,165
51,164
52,164
53,163
54,162
55,161
56,160
57,159
58,159
59,158
60,157
61,154
62,153
63,152
64,150
65,146
66,146
67,145
68,141
69,141
70,141
71,141
72,139
73,137
74,137
75,135
76,134
77,133
78,133
79,133
80,130
81,130
82,130
83,129
84,129
85,128
86,127
87,126
88,125
89,125
90,123
91,122
92,120
93,119
94,114
95,114
96,114
97,112
98,111
99,110
100,108
