round,battery_round_a,battery_round_b,battery_round_c,battery_round_d,battery_round_e,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,199,200,200,200,200,199
14,199,200,200,200,200,199
15,198,199,199,200,200,199
16,198,198,199,200,198,198
17,197,198,199,200,198,198
18,197,198,197,197,195,196
19,194,196,195,195,195,195
20,191,195,194,192,195,193
21,190,194,191,191,192,191
22,187,192,190,190,190,189
23,185,192,183,187,189,187
24,182,191,180,183,185,184
25,180,189,179,181,179,181
26,180,187,179,177,177,180
27,180,182,176,174,176,177
28,178,180,173,171,173,175
29,177,177,171,170,172,173
30,175,173,167,166,170,170
31,172,169,163,165,168,167
32,168,167,160,164,165,164
33,164,166,160,162,164,163
34,163,164,157,159,164,161
35,160,164,155,156,162,159
36,159,161,151,151,159,156
37,155,157,150,146,156,152
38,152,149,148,145,154,149
39,150,148,146,139,150,146
40,148,143,146,139,146,144
41,143,140,144,139,144,142
42,143,138,141,136,143,140
43,140,136,136,129,141,136
44,136,129,134,126,139,132
45,134,127,132,123,138,130
46,130,124,129,119,135,127
47,126,120,124,118,133,124
48,124,119,122,118,132,123
49,121,118,120,118,130,121
50,117,113,119,117,125,118
51,116,110,118,113,120,115
52,116,107,116,111,117,113
53,112,105,111,109,113,110
54,106,104,110,106,112,107
55,104,102,106,103,109,104
56,99,99,102,100,106,101
57,96,94,100,98,102,98
58,90,89,94,95,97,93
59,87,85,92,94,93,90
60,86,83,89,92,89,87
61,84,82,89,89,87,86
62,81,79,82,86,86,82
63,79,76,81,85,85,81
64,75,75,77,81,82,78
65,71,75,73,79,77,75
66,67,72,71,78,71,71
67,65,66,70,75,69,69
68,60,64,69,70,66,65
69,58,59,68,66,62,62
70,55,56,65,62,59,59
71,54,55,63,62,59,58
72,50,55,61,58,55,55
73,48,53,53,57,52,52
74,45,50,50,54,46,49
75,44,49,49,50,46,47
76,44,48,45,48,45,46
77,43,44,45,45,45,44
78,43,43,43,44,45,43
79,41,42,41,42,44,42
80,41,42,41,40,44,41
81,41,41,40,40,42,40
82,40,41,40,40,42,40
83,40,41,40,40,42,40
84,40,41,40,40,41,40
85,40,40,40,40,40,40
86,40,40,40,40,40,40
87,40,40,40,40,40,40
88,40,40,40,40,40,40
89,40,40,40,40,40,40
90,40,40,40,40,40,40
91,40,40,40,40,40,40
92,40,40,40,40,40,40
93,40,40,40,40,40,40
94,40,40,40,40,40,40
95,40,40,40,40,40,40
96,40,40,40,40,40,40
97,40,40,40,40,40,40
98,40,40,40,40,40,40
99,40,40,40,40,40,40
100,40,40,40,40,40,40
