round,battery_round_a,battery_round_b,battery_round_c,battery_round_d,battery_round_e,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,199,199
21,199,200,200,200,199,199
22,199,200,199,198,199,199
23,199,200,199,198,198,198
24,197,200,198,197,196,197
25,196,200,198,196,194,196
26,195,198,194,194,192,194
27,194,198,191,193,192,193
28,192,194,189,192,190,191
29,189,192,186,192,188,189
30,188,192,183,190,185,187
31,186,191,180,190,184,186
32,183,191,178,186,182,184
33,181,187,177,182,181,181
34,174,187,173,178,179,178
35,172,187,172,174,177,176
36,171,185,170,173,175,174
37,171,183,170,172,175,174
38,171,179,167,168,172,171
39,169,177,165,166,170,169
40,169,176,164,166,168,168
41,167,173,161,163,167,166
42,164,171,160,162,167,164
43,162,166,160,158,166,162
44,159,164,159,156,164,160
45,158,161,156,151,161,157
46,157,158,153,150,159,155
47,156,154,153,150,158,154
48,154,151,152,149,157,152
49,154,150,152,147,156,151
50,152,149,150,143,153,149
51,151,147,149,142,152,148
52,150,145,148,142,150,147
53,148,141,147,141,149,145
54,147,139,145,139,147,143
55,145,136,144,138,144,141
56,142,135,143,135,141,139
57,142,134,141,135,141,138
58,140,133,136,134,141,136
59,139,132,134,132,140,135
60,138,128,130,131,139,133
61,135,125,128,130,138,131
62,133,123,127,130,135,129
63,131,122,127,128,130,127
64,128,121,125,125,127,125
65,125,119,124,123,126,123
66,125,118,124,122,125,122
67,123,117,122,118,125,121
68,119,115,121,117,125,119
69,116,112,119,115,123,117
70,114,109,118,113,121,115
71,112,109,115,108,119,112
72,112,105,113,108,114,110
73,109,104,110,108,113,108
74,109,103,107,105,112,107
75,107,98,105,104,110,104
76,105,96,104,102,108,103
77,103,94,102,99,108,101
78,101,92,99,98,105,99
79,98,91,94,97,102,96
80,98,90,93,96,99,95
81,98,89,91,93,98,93
82,96,85,89,90,95,91
83,94,82,85,90,93,88
84,90,80,84,86,93,86
85,88,79,84,86,90,85
86,82,79,83,86,88,83
87,82,79,81,85,85,82
88,78,79,79,83,84,80
89,72,77,77,82,82,78
90,69,75,76,81,81,76
91,66,72,73,78,78,73
92,65,71,72,76,76,72
93,63,67,68,75,72,69
94,56,66,66,72,69,65
95,54,64,62,70,65,63
96,53,61,59,67,60,60
97,53,60,56,63,58,58
98,51,56,55,60,55,55
99,51,52,52,59,53,53
100,49,50,50,57,50,51
