round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,200,200,200
23,200,200,200,200,200,200
24,200,200,200,200,200,200
25,200,200,200,200,200,200
26,200,200,199,199,199,199
27,200,199,198,198,198,198
28,200,199,197,196,197,197
29,198,199,197,195,197,197
30,198,198,194,192,195,195
31,195,198,193,190,195,194
32,195,197,193,185,194,192
33,195,195,192,184,193,191
34,194,195,191,181,193,190
35,192,194,191,178,191,189
36,192,194,189,178,190,188
37,192,193,187,177,189,187
38,191,193,186,176,188,186
39,191,191,184,176,187,185
40,191,190,184,175,186,185
41,190,188,183,175,186,184
42,187,187,183,174,185,183
43,184,187,182,173,183,181
44,183,185,181,173,183,181
45,183,184,180,172,182,180
46,183,182,179,170,181,179
47,181,181,178,170,181,178
48,181,180,178,169,178,177
49,178,177,177,168,177,175
50,177,176,175,166,176,174
51,176,175,174,166,176,173
52,175,170,174,164,175,171
53,174,170,173,163,175,171
54,168,167,172,163,173,168
55,167,165,172,163,170,167
56,167,165,172,163,169,167
57,167,165,170,162,168,166
58,167,165,169,162,168,166
59,167,162,168,162,167,165
60,167,161,168,160,165,164
61,167,161,167,159,164,163
62,167,159,166,159,163,162
63,166,158,166,157,161,161
64,165,158,166,157,161,161
65,165,158,165,157,160,161
66,164,157,162,157,159,159
67,164,156,160,157,159,159
68,163,154,158,156,158,157
69,160,153,156,154,156,155
70,157,151,154,153,156,154
71,157,151,153,153,154,153
72,155,151,152,153,154,153
73,154,151,150,152,149,151
74,150,151,148,152,148,149
75,149,150,148,151,148,149
76,148,145,146,149,145,146
77,147,143,144,146,144,144
78,142,143,144,146,144,143
79,140,141,144,146,144,143
80,140,141,142,145,142,142
81,138,140,138,143,141,140
82,137,137,138,143,138,138
83,137,136,137,142,136,137
84,136,136,137,142,136,137
85,136,135,136,141,135,136
86,134,135,135,141,133,135
87,133,134,134,141,131,134
88,130,134,134,141,131,134
89,130,134,132,140,128,132
90,129,134,132,137,128,132
91,128,133,131,137,127,131
92,126,132,131,137,124,130
93,126,131,130,134,123,128
94,126,131,129,133,123,128
95,124,131,128,131,122,127
96,123,127,128,130,122,126
97,120,127,128,128,122,125
98,118,125,128,126,122,123
99,117,125,127,125,122,123
100,114,125,125,124,121,121
