round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,200,200,200
23,200,200,200,200,199,199
24,199,200,198,200,199,199
25,198,200,197,198,198,198
26,197,199,197,196,195,196
27,196,199,197,195,194,196
28,196,197,195,194,194,195
29,195,196,194,191,193,193
30,195,196,193,187,192,192
31,194,195,190,185,191,191
32,193,195,189,181,190,189
33,193,193,189,181,188,188
34,192,193,189,179,187,188
35,191,193,187,177,187,187
36,190,192,186,176,187,186
37,186,191,184,174,185,184
38,186,189,182,174,184,183
39,183,188,182,174,184,182
40,182,184,182,171,183,180
41,180,184,181,170,181,179
42,180,181,181,169,181,178
43,179,181,179,168,180,177
44,179,178,178,166,178,175
45,178,177,175,166,178,174
46,176,174,175,166,175,173
47,174,170,173,166,174,171
48,172,168,171,165,174,170
49,172,167,171,164,173,169
50,171,166,171,163,173,168
51,171,165,171,163,171,168
52,170,164,169,162,169,166
53,169,163,168,161,168,165
54,168,161,168,161,166,164
55,166,161,168,160,166,164
56,166,159,167,160,165,163
57,165,159,165,157,163,161
58,163,158,164,156,161,160
59,161,158,164,156,160,159
60,160,156,163,156,159,158
61,158,155,162,155,158,157
62,157,154,161,155,158,157
63,154,153,157,154,157,155
64,153,150,154,154,157,153
65,153,150,150,153,156,152
66,152,148,149,152,156,151
67,150,147,147,151,151,149
68,150,147,146,151,150,148
69,150,146,145,150,146,147
70,149,146,144,147,145,146
71,148,146,142,147,145,145
72,147,145,140,147,143,144
73,147,142,139,145,140,142
74,147,140,138,143,140,141
75,144,140,137,141,139,140
76,140,139,136,140,137,138
77,140,139,136,139,135,137
78,138,137,135,139,134,136
79,137,134,135,139,132,135
80,134,133,135,138,131,134
81,130,132,133,137,129,132
82,127,132,133,136,129,131
83,126,131,132,136,128,130
84,125,131,131,133,126,129
85,124,131,131,130,125,128
86,122,131,130,130,122,127
87,121,130,129,129,121,126
88,119,129,128,128,121,125
89,119,128,128,127,121,124
90,118,128,128,126,120,124
91,117,124,125,126,119,122
92,115,124,124,126,119,121
93,115,121,123,125,119,120
94,114,119,121,125,119,119
95,112,119,121,125,119,119
96,111,118,120,125,119,118
97,109,116,120,123,116,116
98,109,115,117,119,115,115
99,108,114,116,116,114,113
100,106,113,115,115,112,112
