round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,199,200,199,200,199
23,200,197,200,199,199,199
24,198,194,199,198,199,197
25,198,193,198,196,197,196
26,198,191,194,195,196,194
27,197,190,194,195,195,194
28,196,186,194,195,194,193
29,196,182,192,193,193,191
30,195,181,189,191,192,189
31,194,181,188,191,190,188
32,193,180,188,189,189,187
33,192,178,187,189,188,186
34,192,177,185,188,186,185
35,190,176,185,186,186,184
36,189,174,184,186,184,183
37,189,174,180,185,184,182
38,187,174,179,184,183,181
39,185,173,179,183,183,180
40,184,169,177,182,182,178
41,182,168,177,181,181,177
42,180,168,176,180,180,176
43,179,168,173,179,179,175
44,177,168,172,179,179,175
45,177,167,171,177,179,174
46,177,166,167,177,179,173
47,175,166,167,175,174,171
48,173,165,166,175,174,170
49,172,164,165,172,171,168
50,169,163,165,172,169,167
51,169,162,164,169,169,166
52,168,162,164,169,168,166
53,168,161,164,167,168,165
54,168,161,163,164,167,164
55,167,160,162,162,165,163
56,167,160,161,161,163,162
57,167,160,158,161,160,161
58,167,156,157,161,160,160
59,166,155,156,161,158,159
60,163,155,155,160,158,158
61,162,154,154,159,157,157
62,158,152,153,158,157,155
63,157,152,153,158,155,155
64,155,152,152,157,153,153
65,154,152,150,154,151,152
66,152,151,149,153,149,150
67,152,149,147,152,146,149
68,149,147,147,149,146,147
69,147,147,146,147,145,146
70,146,147,145,144,144,145
71,143,147,144,143,140,143
72,143,146,143,142,139,142
73,141,145,143,141,137,141
74,139,145,143,140,135,140
75,137,144,143,139,134,139
76,136,142,142,137,132,137
77,134,142,142,136,132,137
78,134,141,140,134,131,136
79,133,140,140,132,127,134
80,132,138,138,131,125,132
81,127,137,136,128,125,130
82,126,137,134,126,124,129
83,124,137,133,125,124,128
84,123,136,131,125,123,127
85,123,136,131,124,123,127
86,123,133,131,124,122,126
87,122,131,129,124,122,125
88,121,129,128,124,121,124
89,120,128,128,124,121,124
90,118,126,125,124,121,122
91,118,126,123,124,119,122
92,116,123,123,122,118,120
93,115,119,120,120,117,118
94,113,118,119,119,116,117
95,112,117,118,119,114,116
96,112,117,116,119,113,115
97,112,116,114,118,113,114
98,112,115,114,118,112,114
99,112,115,113,118,110,113
100,112,115,112,117,110,113
