round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,198
25,195
26,195
27,192
28,190
29,188
30,188
31,188
32,186
33,185
34,183
35,178
36,176
37,176
38,176
39,171
40,171
41,170
42,168
43,165
44,165
45,164
46,164
47,161
48,156
49,155
50,154
51,153
52,152
53,151
54,149
55,149
56,149
57,143
58,141
59,140
60,137
61,135
62,134
63,133
64,131
65,130
66,125
67,125
68,122
69,120
70,120
71,120
72,118
73,114
74,112
75,110
76,109
77,107
78,105
79,104
80,101
81,98
82,98
83,96
84,93
85,92
86,92
87,86
88,86
89,84
90,84
91,84
92,82
93,79
94,78
95,77
96,75
97,72
98,63
99,62
100,60
