round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,198
17,198
18,195
19,195
20,195
21,192
22,190
23,189
24,185
25,179
26,177
27,176
28,173
29,172
30,170
31,168
32,165
33,164
34,164
35,162
36,159
37,156
38,154
39,150
40,146
41,144
42,143
43,141
44,139
45,138
46,135
47,133
48,132
49,130
50,125
51,120
52,117
53,113
54,112
55,109
56,106
57,102
58,97
59,93
60,89
61,87
62,86
63,85
64,82
65,77
66,71
67,69
68,66
69,62
70,59
71,59
72,55
73,52
74,46
75,46
76,45
77,45
78,45
79,44
80,44
81,42
82,42
83,42
84,41
85,40
86,40
87,40
88,40
89,40
90,40
91,40
92,40
93,40
94,40
95,40
96,40
97,40
98,40
99,40
100,40
