round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,199
25,198
26,197
27,196
28,196
29,195
30,195
31,194
32,193
33,193
34,192
35,191
36,190
37,186
38,186
39,183
40,182
41,180
42,180
43,179
44,179
45,178
46,176
47,174
48,172
49,172
50,171
51,171
52,170
53,169
54,168
55,166
56,166
57,165
58,163
59,161
60,160
61,158
62,157
63,154
64,153
65,153
66,152
67,150
68,150
69,150
70,149
71,148
72,147
73,147
74,147
75,144
76,140
77,140
78,138
79,137
80,134
81,130
82,127
83,126
84,125
85,124
86,122
87,121
88,119
89,119
90,118
91,117
92,115
93,115
94,114
95,112
96,111
97,109
98,109
99,108
100,106
