round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,200
26,198
27,197
28,191
29,190
30,188
31,188
32,186
33,182
34,180
35,177
36,176
37,174
38,174
39,171
40,170
41,169
42,169
43,168
44,167
45,164
46,162
47,161
48,159
49,157
50,156
51,156
52,155
53,153
54,152
55,152
56,152
57,146
58,145
59,141
60,141
61,139
62,138
63,135
64,135
65,134
66,132
67,132
68,129
69,127
70,126
71,124
72,123
73,120
74,118
75,117
76,115
77,112
78,109
79,108
80,105
81,102
82,101
83,100
84,99
85,99
86,98
87,97
88,94
89,93
90,90
91,88
92,86
93,82
94,81
95,80
96,78
97,78
98,76
99,74
100,71
