round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,198
25,198
26,198
27,197
28,196
29,196
30,195
31,194
32,193
33,192
34,192
35,190
36,189
37,189
38,187
39,185
40,184
41,182
42,180
43,179
44,177
45,177
46,177
47,175
48,173
49,172
50,169
51,169
52,168
53,168
54,168
55,167
56,167
57,167
58,167
59,166
60,163
61,162
62,158
63,157
64,155
65,154
66,152
67,152
68,149
69,147
70,146
71,143
72,143
73,141
74,139
75,137
76,136
77,134
78,134
79,133
80,132
81,127
82,126
83,124
84,123
85,123
86,123
87,122
88,121
89,120
90,118
91,118
92,116
93,115
94,113
95,112
96,112
97,112
98,112
99,112
100,112
