round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,199
24,199
25,197
26,196
27,195
28,194
29,193
30,192
31,190
32,189
33,188
34,186
35,186
36,184
37,184
38,183
39,183
40,182
41,181
42,180
43,179
44,179
45,179
46,179
47,174
48,174
49,171
50,169
51,169
52,168
53,168
54,167
55,165
56,163
57,160
58,160
59,158
60,158
61,157
62,157
63,155
64,153
65,151
66,149
67,146
68,146
69,145
70,144
71,140
72,139
73,137
74,135
75,134
76,132
77,132
78,131
79,127
80,125
81,125
82,124
83,124
84,123
85,123
86,122
87,122
88,121
89,121
90,121
91,119
92,118
93,117
94,116
95,114
96,113
97,113
98,112
99,110
100,110
