round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,199
24,198
25,197
26,196
27,194
28,194
29,193
30,193
31,191
32,189
33,188
34,188
35,186
36,182
37,181
38,181
39,177
40,177
41,176
42,176
43,175
44,172
45,171
46,171
47,169
48,169
49,168
50,168
51,168
52,167
53,165
54,164
55,164
56,163
57,161
58,160
59,160
60,158
61,156
62,156
63,155
64,154
65,153
66,152
67,150
68,148
69,148
70,147
71,146
72,146
73,140
74,139
75,137
76,136
77,135
78,135
79,134
80,132
81,129
82,127
83,126
84,126
85,126
86,125
87,124
88,124
89,122
90,122
91,121
92,120
93,118
94,114
95,114
96,113
97,113
98,113
99,113
100,112
