round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,199
18,198
19,198
20,197
21,197
22,196
23,194
24,193
25,193
26,188
27,187
28,186
29,179
30,178
31,178
32,176
33,175
34,175
35,173
36,173
37,172
38,169
39,166
40,163
41,161
42,160
43,158
44,157
45,157
46,157
47,154
48,153
49,151
50,149
51,147
52,145
53,142
54,138
55,132
56,132
57,130
58,129
59,122
60,122
61,121
62,118
63,117
64,115
65,115
66,115
67,115
68,114
69,112
70,111
71,108
72,107
73,106
74,100
75,97
76,97
77,97
78,97
79,94
80,94
81,91
82,91
83,86
84,85
85,82
86,80
87,78
88,78
89,72
90,68
91,67
92,66
93,64
94,61
95,60
96,60
97,60
98,60
99,58
100,56
