round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,199
21,199
22,199
23,199
24,198
25,198
26,197
27,196
28,196
29,195
30,194
31,192
32,187
33,187
34,185
35,183
36,183
37,181
38,178
39,176
40,175
41,174
42,174
43,174
44,174
45,174
46,171
47,171
48,170
49,170
50,167
51,165
52,164
53,164
54,164
55,163
56,162
57,160
58,160
59,159
60,158
61,157
62,154
63,153
64,152
65,151
66,151
67,150
68,150
69,149
70,147
71,143
72,142
73,140
74,138
75,137
76,135
77,135
78,134
79,133
80,132
81,130
82,129
83,129
84,127
85,126
86,123
87,122
88,121
89,121
90,121
91,118
92,118
93,117
94,115
95,114
96,113
97,112
98,112
99,111
100,109
