round,battery_round_a,battery_round_b,battery_round_c,battery_round_d,battery_round_e,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,199,199
21,199,200,200,200,199,199
22,199,200,199,199,199,199
23,199,200,199,197,198,198
24,197,200,198,197,196,197
25,196,200,198,196,194,196
26,195,198,194,194,192,194
27,194,198,191,193,192,193
28,192,194,189,192,190,191
29,188,192,186,189,188,188
30,188,192,183,187,185,187
31,186,191,180,185,184,185
32,184,191,178,182,182,183
33,180,187,177,179,181,180
34,175,187,173,177,179,178
35,173,187,172,175,177,176
36,171,185,170,172,175,174
37,170,183,170,170,175,173
38,170,179,167,169,172,171
39,169,177,165,167,170,169
40,168,176,164,164,168,168
41,167,174,161,162,167,166
42,165,170,160,161,167,164
43,163,167,160,160,166,163
44,162,166,159,157,164,161
45,161,162,156,156,161,159
46,160,159,153,151,159,156
47,158,156,153,150,158,155
48,156,153,152,148,157,153
49,155,151,152,146,156,152
50,154,150,150,146,153,150
51,154,150,149,145,152,150
52,151,146,148,143,150,147
53,150,144,147,141,149,146
54,148,141,145,139,147,144
55,145,141,144,137,144,142
56,144,138,143,137,141,140
57,143,136,141,135,141,139
58,141,132,136,134,141,136
59,141,130,134,134,140,135
60,141,127,130,132,139,133
61,136,127,128,131,138,132
62,130,125,127,128,135,129
63,129,125,127,126,130,127
64,128,121,125,125,127,125
65,126,120,124,125,126,124
66,124,116,124,125,125,122
67,121,116,122,124,125,121
68,120,112,121,120,125,119
69,118,109,119,117,123,117
70,117,106,118,115,121,115
71,115,105,115,113,119,113
72,114,104,113,109,114,110
73,110,102,110,108,113,108
74,108,100,107,105,112,106
75,106,100,105,103,110,104
76,103,98,104,100,108,102
77,102,93,102,98,108,100
78,98,91,99,97,105,98
79,96,91,94,93,102,95
80,94,90,93,93,99,93
81,92,89,91,91,98,92
82,91,85,89,90,95,90
83,90,83,85,89,93,88
84,86,79,84,88,93,86
85,85,78,84,86,90,84
86,85,78,83,84,88,83
87,83,75,81,84,85,81
88,80,74,79,82,84,79
89,78,74,77,82,82,78
90,74,72,76,81,81,76
91,73,70,73,80,78,74
92,69,69,72,79,76,73
93,67,67,68,75,72,69
94,67,66,66,71,69,67
95,63,65,62,68,65,64
96,62,64,59,66,60,62
97,60,63,56,63,58,60
98,57,58,55,59,55,56
99,57,54,52,57,53,54
100,54,53,50,54,50,52
