round,battery_round_a,battery_round_b,battery_round_c,battery_round_d,battery_round_e,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,198,200,200,199
15,200,200,198,200,198,199
16,200,200,197,199,196,198
17,200,200,196,198,195,197
18,198,200,196,195,194,196
19,197,200,193,195,194,195
20,197,197,191,194,191,194
21,197,194,189,193,189,192
22,197,193,186,192,185,190
23,194,192,184,187,185,188
24,189,191,181,184,184,185
25,182,190,180,183,181,183
26,179,185,176,182,181,180
27,177,185,176,179,180,179
28,175,181,174,178,178,177
29,173,179,173,174,177,175
30,168,177,170,170,173,171
31,165,173,165,164,171,167
32,165,170,163,164,168,166
33,164,165,162,161,165,163
34,163,161,161,158,163,161
35,159,159,160,155,163,159
36,158,159,156,150,162,157
37,153,156,152,145,158,152
38,149,153,150,142,155,149
39,148,150,146,140,154,147
40,148,146,142,139,150,145
41,144,142,141,138,146,142
42,142,141,138,138,144,140
43,141,138,137,138,141,139
44,135,135,135,135,135,135
45,132,131,132,130,135,132
46,130,130,130,129,134,130
47,129,127,127,126,131,128
48,123,124,124,124,127,124
49,123,120,124,122,123,122
50,121,116,123,118,122,120
51,119,109,118,116,119,116
52,118,107,117,112,116,114
53,116,103,114,111,114,111
54,112,100,114,110,109,109
55,110,95,111,105,104,105
56,106,94,108,101,102,102
57,104,89,103,100,100,99
58,97,82,98,99,98,94
59,94,80,94,98,93,91
60,87,79,92,95,91,88
61,84,77,87,89,91,85
62,77,74,84,83,87,81
63,72,71,82,82,83,78
64,68,70,77,76,82,74
65,64,67,74,76,81,72
66,60,67,71,75,78,70
67,60,65,70,73,74,68
68,59,62,68,67,65,64
69,55,58,66,64,62,61
70,53,56,61,64,60,58
71,53,55,60,63,58,57
72,53,54,53,60,55,55
73,50,52,50,57,53,52
74,49,50,49,54,53,51
75,48,48,45,54,49,48
76,48,47,45,47,46,46
77,46,47,43,46,43,45
78,45,43,42,44,43,43
79,44,41,41,43,43,42
80,42,41,40,41,43,41
81,41,40,40,40,41,40
82,40,40,40,40,41,40
83,40,40,40,40,41,40
84,40,40,40,40,41,40
85,40,40,40,40,41,40
86,40,40,40,40,40,40
87,40,40,40,40,40,40
88,40,40,40,40,40,40
89,40,40,40,40,40,40
90,40,40,40,40,40,40
91,40,40,40,40,40,40
92,40,40,40,40,40,40
93,40,40,40,40,40,40
94,40,40,40,40,40,40
95,40,40,40,40,40,40
96,40,40,40,40,40,40
97,40,40,40,40,40,40
98,40,40,40,40,40,40
99,40,40,40,40,40,40
100,40,40,40,40,40,40
