round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,199,200,199
23,200,200,200,197,200,199
24,199,200,199,197,199,198
25,197,200,199,196,199,198
26,195,200,197,195,199,197
27,194,199,195,194,199,196
28,193,198,194,193,199,195
29,193,197,194,193,199,195
30,193,195,191,192,199,194
31,192,194,190,191,198,193
32,189,194,187,190,198,191
33,188,193,185,188,198,190
34,186,193,182,188,198,189
35,183,193,182,185,198,188
36,183,193,182,182,197,187
37,182,190,181,182,196,186
38,182,189,179,181,194,185
39,182,187,179,181,189,183
40,180,186,179,177,187,181
41,179,186,178,175,185,180
42,178,183,174,175,181,178
43,178,180,174,173,179,176
44,177,177,173,173,177,175
45,173,177,172,173,170,173
46,172,174,171,171,168,171
47,171,171,170,169,164,169
48,170,170,169,168,158,167
49,170,169,167,167,156,165
50,170,166,165,167,151,163
51,168,164,164,167,145,161
52,168,162,164,166,141,160
53,167,161,163,165,135,158
54,165,160,162,165,128,156
55,164,160,161,163,122,154
56,163,158,161,162,118,152
57,163,158,160,161,113,151
58,162,158,158,159,111,149
59,162,157,156,159,105,147
60,162,156,154,156,105,146
61,161,155,154,156,103,145
62,160,153,154,155,101,144
63,157,153,154,155,101,144
64,154,150,154,155,101,142
65,153,150,154,154,100,142
66,153,150,152,151,100,141
67,152,150,150,151,100,140
68,152,149,150,147,100,139
69,150,148,149,147,100,138
70,149,148,148,145,100,138
71,146,146,147,143,100,136
72,145,144,145,140,100,134
73,143,144,141,139,100,133
74,142,142,141,139,100,132
75,141,140,138,138,100,131
76,140,140,138,136,100,130
77,137,138,138,136,100,129
78,137,138,137,133,100,129
79,137,136,136,132,100,128
80,136,134,135,131,100,127
81,135,131,134,131,100,126
82,134,130,132,131,100,125
83,133,129,131,130,100,124
84,130,129,129,129,100,123
85,128,128,127,128,100,122
86,128,128,127,125,100,121
87,127,127,127,125,100,121
88,127,126,127,124,100,120
89,126,126,127,122,100,120
90,126,125,126,121,100,119
91,125,124,125,120,100,118
92,124,123,123,118,100,117
93,122,123,123,118,100,117
94,119,122,121,116,100,115
95,118,120,121,115,100,114
96,117,120,120,114,100,114
97,116,117,118,113,100,112
98,115,114,118,111,100,111
99,114,111,117,109,100,110
100,114,110,115,107,100,109
