round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,200
26,199
27,198
28,196
29,193
30,192
31,192
32,192
33,191
34,189
35,188
36,185
37,183
38,180
39,176
40,173
41,172
42,171
43,169
44,166
45,162
46,160
47,158
48,155
49,155
50,153
51,153
52,153
53,150
54,149
55,148
56,147
57,146
58,144
59,143
60,140
61,139
62,137
63,137
64,135
65,135
66,135
67,134
68,131
69,130
70,129
71,129
72,129
73,127
74,121
75,119
76,118
77,117
78,117
79,115
80,112
81,108
82,106
83,104
84,103
85,102
86,100
87,99
88,99
89,98
90,97
91,96
92,95
93,94
94,91
95,90
96,90
97,88
98,87
99,86
100,85
