round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,197
26,195
27,192
28,192
29,192
30,192
31,190
32,189
33,187
34,184
35,181
36,180
37,172
38,170
39,169
40,166
41,165
42,164
43,160
44,158
45,155
46,152
47,151
48,150
49,148
50,147
51,147
52,145
53,144
54,144
55,140
56,139
57,138
58,138
59,136
60,133
61,132
62,132
63,132
64,131
65,129
66,128
67,128
68,125
69,125
70,123
71,121
72,120
73,118
74,116
75,115
76,114
77,111
78,109
79,108
80,105
81,103
82,102
83,100
84,99
85,97
86,97
87,94
88,94
89,93
90,92
91,89
92,85
93,85
94,85
95,85
96,84
97,81
98,81
99,80
100,78
