round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,200
26,200
27,199
28,197
29,192
30,189
31,188
32,187
33,185
34,184
35,182
36,179
37,176
38,174
39,172
40,170
41,169
42,168
43,163
44,163
45,161
46,160
47,160
48,160
49,159
50,157
51,156
52,154
53,152
54,150
55,148
56,145
57,145
58,144
59,144
60,142
61,139
62,138
63,133
64,133
65,132
66,130
67,130
68,130
69,127
70,126
71,124
72,121
73,119
74,118
75,116
76,113
77,113
78,110
79,109
80,107
81,104
82,101
83,98
84,96
85,96
86,95
87,93
88,91
89,88
90,87
91,85
92,85
93,83
94,82
95,79
96,75
97,73
98,72
99,70
100,69
