round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,199
24,199
25,198
26,198
27,196
28,196
29,196
30,192
31,191
32,190
33,189
34,188
35,188
36,187
37,187
38,186
39,185
40,183
41,183
42,182
43,182
44,181
45,177
46,177
47,177
48,176
49,176
50,173
51,172
52,172
53,170
54,170
55,168
56,166
57,165
58,164
59,164
60,163
61,162
62,162
63,162
64,161
65,160
66,158
67,157
68,156
69,156
70,155
71,151
72,151
73,150
74,149
75,149
76,148
77,147
78,145
79,143
80,141
81,139
82,138
83,137
84,137
85,137
86,134
87,134
88,133
89,132
90,132
91,131
92,130
93,130
94,129
95,126
96,125
97,125
98,124
99,122
100,120
