round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,200
26,200
27,200
28,200
29,200
30,200
31,200
32,200
33,200
34,200
35,200
36,200
37,200
38,200
39,200
40,200
41,200
42,200
43,200
44,200
45,200
46,200
47,200
48,200
49,199
50,198
51,195
52,194
53,193
54,187
55,182
56,173
57,163
58,156
59,153
60,146
61,139
62,129
63,127
64,117
65,113
66,109
67,102
68,101
69,100
70,100
71,100
72,100
73,100
74,100
75,100
76,100
77,100
78,100
79,100
80,100
81,100
82,100
83,100
84,100
85,100
86,100
87,100
88,100
89,100
90,100
91,100
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,100
