round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,199
25,199
26,199
27,199
28,199
29,199
30,199
31,198
32,198
33,198
34,198
35,198
36,197
37,196
38,194
39,189
40,187
41,185
42,181
43,179
44,177
45,171
46,168
47,162
48,158
49,153
50,149
51,144
52,136
53,130
54,127
55,121
56,117
57,113
58,110
59,109
60,107
61,105
62,103
63,101
64,100
65,100
66,100
67,100
68,100
69,100
70,100
71,100
72,100
73,100
74,100
75,100
76,100
77,100
78,100
79,100
80,100
81,100
82,100
83,100
84,100
85,100
86,100
87,100
88,100
89,100
90,100
91,100
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,100
