round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,198
8,198
9,198
10,198
11,197
12,197
13,197
14,195
15,194
16,193
17,193
18,192
19,191
20,190
21,190
22,190
23,189
24,188
25,187
26,185
27,184
28,182
29,182
30,180
31,178
32,176
33,175
34,174
35,173
36,172
37,169
38,169
39,169
40,166
41,164
42,164
43,164
44,163
45,162
46,161
47,158
48,157
49,157
50,156
51,153
52,151
53,151
54,149
55,149
56,149
57,147
58,147
59,144
60,144
61,144
62,143
63,143
64,143
65,143
66,143
67,143
68,142
69,141
70,141
71,139
72,138
73,138
74,138
75,138
76,137
77,136
78,133
79,132
80,130
81,130
82,128
83,127
84,125
85,123
86,123
87,122
88,122
89,121
90,119
91,119
92,118
93,115
94,114
95,110
96,109
97,107
98,107
99,106
100,104
