round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,199
20,196
21,196
22,196
23,193
24,192
25,191
26,190
27,189
28,188
29,184
30,183
31,179
32,178
33,177
34,174
35,173
36,171
37,170
38,168
39,166
40,164
41,162
42,159
43,158
44,157
45,155
46,155
47,155
48,153
49,150
50,149
51,149
52,147
53,147
54,146
55,145
56,143
57,141
58,138
59,137
60,135
61,133
62,130
63,129
64,127
65,126
66,126
67,126
68,126
69,126
70,123
71,120
72,119
73,118
74,115
75,111
76,111
77,111
78,110
79,108
80,108
81,108
82,108
83,105
84,105
85,104
86,103
87,102
88,102
89,101
90,101
91,101
92,101
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,100
