round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,199
23,197
24,197
25,196
26,194
27,193
28,192
29,189
30,187
31,185
32,182
33,179
34,177
35,175
36,172
37,170
38,169
39,167
40,164
41,162
42,161
43,160
44,157
45,156
46,151
47,150
48,148
49,146
50,146
51,145
52,143
53,141
54,139
55,137
56,137
57,135
58,134
59,134
60,132
61,131
62,128
63,126
64,125
65,125
66,125
67,124
68,120
69,117
70,115
71,113
72,109
73,108
74,105
75,103
76,100
77,99
78,98
79,94
80,92
81,90
82,89
83,89
84,87
85,85
86,85
87,83
88,82
89,82
90,82
91,81
92,79
93,76
94,76
95,71
96,64
97,64
98,63
99,60
100,58
