round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,199
25,198
26,196
27,194
28,190
29,189
30,188
31,187
32,184
33,184
34,182
35,181
36,178
37,177
38,176
39,173
40,171
41,171
42,169
43,167
44,167
45,166
46,165
47,163
48,161
49,160
50,159
51,155
52,154
53,154
54,153
55,151
56,150
57,148
58,147
59,146
60,144
61,144
62,141
63,140
64,137
65,135
66,132
67,130
68,130
69,130
70,126
71,125
72,123
73,122
74,120
75,119
76,118
77,118
78,113
79,112
80,112
81,111
82,108
83,107
84,106
85,103
86,99
87,94
88,91
89,89
90,85
91,84
92,83
93,82
94,81
95,81
96,79
97,79
98,79
99,78
100,75
