round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,199
18,199
19,198
20,198
21,197
22,195
23,194
24,194
25,193
26,193
27,193
28,192
29,191
30,190
31,188
32,187
33,185
34,184
35,183
36,181
37,178
38,175
39,175
40,173
41,171
42,171
43,171
44,171
45,169
46,167
47,166
48,164
49,158
50,158
51,158
52,156
53,155
54,152
55,150
56,148
57,148
58,146
59,144
60,141
61,140
62,137
63,135
64,132
65,129
66,128
67,126
68,124
69,123
70,123
71,121
72,118
73,118
74,116
75,115
76,113
77,112
78,112
79,111
80,110
81,108
82,106
83,106
84,106
85,103
86,103
87,103
88,101
89,101
90,101
91,101
92,101
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,100
