round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,196
21,195
22,193
23,193
24,191
25,191
26,188
27,188
28,187
29,184
30,184
31,184
32,180
33,180
34,177
35,175
36,174
37,173
38,171
39,169
40,165
41,164
42,164
43,160
44,160
45,155
46,154
47,154
48,153
49,151
50,151
51,148
52,148
53,146
54,145
55,145
56,145
57,142
58,140
59,138
60,138
61,135
62,133
63,132
64,128
65,125
66,123
67,122
68,118
69,117
70,113
71,110
72,110
73,110
74,109
75,109
76,108
77,103
78,101
79,100
80,98
81,96
82,95
83,95
84,94
85,93
86,92
87,90
88,87
89,87
90,85
91,83
92,82
93,81
94,81
95,80
96,78
97,75
98,72
99,71
100,68
