round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,199
23,198
24,196
25,193
26,193
27,191
28,190
29,189
30,189
31,187
32,185
33,183
34,182
35,177
36,177
37,177
38,177
39,172
40,172
41,171
42,169
43,169
44,166
45,165
46,164
47,162
48,162
49,156
50,152
51,150
52,145
53,144
54,142
55,141
56,140
57,140
58,138
59,138
60,135
61,129
62,129
63,123
64,122
65,120
66,117
67,117
68,114
69,114
70,111
71,110
72,110
73,108
74,104
75,103
76,101
77,99
78,98
79,98
80,98
81,97
82,95
83,95
84,92
85,90
86,87
87,84
88,80
89,76
90,76
91,75
92,73
93,71
94,68
95,67
96,64
97,63
98,60
99,59
100,58
