round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,199
22,199
23,199
24,198
25,197
26,196
27,195
28,194
29,190
30,189
31,189
32,187
33,187
34,185
35,184
36,181
37,181
38,180
39,179
40,178
41,178
42,178
43,176
44,174
45,174
46,174
47,174
48,173
49,171
50,170
51,167
52,165
53,165
54,165
55,165
56,165
57,162
58,161
59,159
60,159
61,158
62,155
63,153
64,152
65,151
66,151
67,150
68,150
69,149
70,146
71,144
72,143
73,142
74,139
75,139
76,138
77,138
78,136
79,135
80,134
81,133
82,132
83,132
84,131
85,129
86,128
87,127
88,126
89,126
90,124
91,124
92,124
93,122
94,119
95,119
96,119
97,117
98,115
99,115
100,114
