round,battery_round_a,battery_round_b,battery_round_c,battery_round_d,battery_round_e,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,199,200,199,200,199
13,200,198,199,199,200,199
14,200,198,199,199,199,199
15,200,198,199,197,198,198
16,200,197,199,197,197,198
17,200,197,199,196,197,197
18,198,197,197,196,195,196
19,196,197,196,194,194,195
20,195,197,195,193,194,194
21,194,195,193,191,192,193
22,189,194,191,188,191,190
23,188,192,187,186,189,188
24,186,190,182,185,186,185
25,184,187,181,183,183,183
26,183,186,176,182,179,181
27,181,184,173,180,178,179
28,177,181,171,180,177,177
29,176,179,168,176,173,174
30,169,174,167,175,171,171
31,168,172,164,169,166,167
32,165,170,163,164,165,165
33,161,168,157,162,162,162
34,160,167,156,158,162,160
35,157,159,155,155,162,157
36,152,154,151,154,161,154
37,151,153,149,153,161,153
38,150,149,149,151,159,151
39,148,145,148,150,155,149
40,145,143,145,147,155,147
41,145,140,144,140,150,143
42,140,137,141,137,148,140
43,140,136,139,132,144,138
44,136,135,138,127,140,135
45,135,133,135,127,134,132
46,133,132,128,125,134,130
47,130,127,126,124,130,127
48,129,124,123,123,129,125
49,128,119,121,122,126,123
50,124,116,116,122,125,120
51,120,111,113,120,119,116
52,118,108,111,117,118,114
53,115,104,110,113,115,111
54,110,99,107,110,114,108
55,106,96,103,108,110,104
56,104,95,101,103,108,102
57,99,92,99,99,103,98
58,95,91,97,96,101,96
59,90,87,95,91,94,91
60,86,84,92,87,91,88
61,83,82,87,83,90,85
62,81,79,83,81,89,82
63,77,75,79,77,84,78
64,75,75,78,76,82,77
65,69,70,75,76,81,74
66,67,66,74,71,76,70
67,62,66,69,67,72,67
68,62,63,64,66,70,65
69,62,59,59,64,66,62
70,57,58,57,62,61,59
71,54,55,57,59,58,56
72,52,52,52,56,58,54
73,52,49,49,53,55,51
74,49,46,48,50,52,49
75,44,43,48,50,48,46
76,42,42,47,49,43,44
77,42,41,46,47,43,43
78,40,41,43,45,42,42
79,40,40,42,43,41,41
80,40,40,41,42,41,40
81,40,40,41,42,40,40
82,40,40,40,41,40,40
83,40,40,40,40,40,40
84,40,40,40,40,40,40
85,40,40,40,40,40,40
86,40,40,40,40,40,40
87,40,40,40,40,40,40
88,40,40,40,40,40,40
89,40,40,40,40,40,40
90,40,40,40,40,40,40
91,40,40,40,40,40,40
92,40,40,40,40,40,40
93,40,40,40,40,40,40
94,40,40,40,40,40,40
95,40,40,40,40,40,40
96,40,40,40,40,40,40
97,40,40,40,40,40,40
98,40,40,40,40,40,40
99,40,40,40,40,40,40
100,40,40,40,40,40,40
