round,battery_round_a,battery_round_b,battery_round_c,battery_round_d,battery_round_e,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,199,199
21,199,200,200,200,199,199
22,199,200,200,199,199,199
23,199,200,200,197,198,198
24,197,199,198,197,196,197
25,196,199,196,196,194,196
26,194,198,194,194,192,194
27,193,197,189,193,192,192
28,191,195,189,192,190,191
29,190,194,185,189,188,189
30,189,193,184,187,186,187
31,184,190,181,185,184,184
32,181,189,179,182,183,182
33,179,189,175,179,182,180
34,175,188,172,177,179,178
35,173,187,172,175,177,176
36,172,185,169,172,175,174
37,171,183,168,170,175,173
38,170,180,167,169,173,171
39,170,178,164,167,170,169
40,168,178,164,164,169,168
41,167,172,162,162,165,165
42,164,169,162,161,165,164
43,160,167,159,160,163,161
44,160,164,158,157,161,160
45,159,157,157,156,161,158
46,159,154,156,151,161,156
47,158,152,154,150,160,154
48,154,150,152,148,158,152
49,153,149,151,146,154,150
50,151,148,151,146,153,149
51,149,145,150,145,153,148
52,148,142,148,143,150,146
53,146,142,146,141,148,144
54,145,140,144,139,147,143
55,145,135,144,137,146,141
56,144,134,143,137,146,140
57,143,134,140,135,144,139
58,143,132,138,134,140,137
59,141,131,138,134,138,136
60,140,128,135,132,138,134
61,136,126,134,131,137,132
62,132,124,130,128,135,129
63,128,121,129,126,134,127
64,124,119,126,125,133,125
65,122,119,123,125,129,123
66,118,119,123,125,127,122
67,116,118,121,124,123,120
68,115,115,117,120,121,117
69,115,110,115,117,117,114
70,114,109,115,115,116,113
71,114,107,113,113,115,112
72,112,107,112,109,113,110
73,107,106,110,108,111,108
74,105,105,110,105,107,106
75,103,101,109,103,106,104
76,102,100,108,100,104,102
77,97,96,107,99,103,100
78,97,93,103,98,101,98
79,97,92,100,94,98,96
80,97,90,96,92,98,94
81,95,89,92,90,96,92
82,92,87,90,89,93,90
83,89,85,86,89,93,88
84,88,83,83,87,92,86
85,87,80,83,85,91,85
86,85,79,80,85,88,83
87,79,78,79,83,85,80
88,77,78,79,82,82,79
89,74,75,76,82,81,77
90,72,74,72,82,75,75
91,71,70,70,81,73,73
92,68,69,68,79,73,71
93,67,66,67,76,71,69
94,66,65,64,76,69,68
95,63,64,62,71,67,65
96,61,64,61,64,64,62
97,61,61,60,64,62,61
98,57,60,59,63,58,59
99,55,59,57,60,56,57
100,53,59,55,58,52,55
