round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,200,200,200
23,200,200,200,200,200,200
24,200,200,200,200,199,199
25,199,200,199,199,198,199
26,198,200,196,194,196,196
27,198,198,195,193,194,195
28,198,198,191,189,190,193
29,196,196,189,185,189,191
30,196,192,188,181,188,189
31,195,190,187,180,187,187
32,193,190,184,179,184,186
33,192,187,180,176,184,183
34,192,185,177,174,182,182
35,190,185,175,173,181,180
36,189,184,175,173,178,179
37,186,183,173,171,177,178
38,185,179,171,170,176,176
39,184,179,168,167,173,174
40,181,174,166,166,171,171
41,180,172,165,163,171,170
42,180,170,163,163,169,169
43,179,169,162,161,166,167
44,177,169,161,160,166,166
45,175,169,160,158,166,165
46,173,169,160,158,165,165
47,173,168,159,156,162,163
48,173,167,159,156,161,163
49,172,165,157,153,160,161
50,170,164,153,152,158,159
51,168,159,152,151,156,157
52,167,157,151,148,155,155
53,166,156,150,147,154,154
54,164,156,147,146,153,153
55,160,155,146,146,150,151
56,157,150,144,142,149,148
57,155,148,144,139,149,147
58,153,148,144,138,148,146
59,152,147,143,137,147,145
60,150,146,143,137,145,144
61,150,146,139,136,144,143
62,147,143,139,134,142,141
63,146,140,137,134,140,139
64,141,138,137,132,137,137
65,141,137,133,130,135,135
66,140,136,131,129,132,133
67,136,136,131,128,132,132
68,134,134,128,127,130,130
69,132,132,127,125,130,129
70,129,129,126,125,125,126
71,127,127,125,123,125,125
72,125,125,122,121,123,123
73,120,123,119,120,122,120
74,113,122,118,118,121,118
75,111,119,118,117,119,116
76,107,117,116,114,118,114
77,105,113,114,114,117,112
78,104,112,113,111,115,111
79,102,109,110,111,114,109
80,101,105,108,110,113,107
81,100,104,108,108,112,106
82,98,102,107,107,109,104
83,97,102,105,107,108,103
84,96,102,103,104,105,102
85,93,97,101,103,102,99
86,93,96,100,99,100,97
87,91,94,99,98,97,95
88,90,91,96,97,96,94
89,88,90,93,95,96,92
90,88,86,90,92,95,90
91,88,86,88,91,94,89
92,88,84,86,89,91,87
93,86,83,86,89,90,86
94,86,80,86,87,90,85
95,86,79,85,87,89,85
96,83,79,85,85,88,84
97,80,76,82,83,87,81
98,78,76,80,81,86,80
99,74,76,78,80,82,78
100,71,75,76,77,79,75
