round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,199,200,199,200,199
16,199,199,199,199,199,199
17,197,199,198,197,199,198
18,197,198,197,195,198,197
19,197,198,195,195,196,196
20,195,197,194,193,194,194
21,190,195,191,190,194,192
22,187,195,185,188,193,189
23,184,193,181,186,190,186
24,183,191,179,185,187,185
25,178,190,176,184,184,182
26,177,187,172,182,184,180
27,176,183,171,180,177,177
28,174,180,169,176,176,175
29,173,178,166,171,173,172
30,170,176,164,167,171,169
31,168,171,159,164,169,166
32,166,167,156,160,168,163
33,163,165,155,160,166,161
34,162,164,154,159,165,160
35,161,161,152,153,163,158
36,160,157,152,149,160,155
37,158,156,149,145,158,153
38,154,149,145,144,156,149
39,150,147,144,139,152,146
40,149,145,141,137,152,144
41,148,143,139,136,144,142
42,147,140,138,134,142,140
43,146,139,136,131,137,137
44,139,135,133,129,136,134
45,137,131,133,129,133,132
46,134,127,131,127,131,130
47,132,123,129,125,129,127
48,126,121,128,124,126,125
49,120,120,127,124,123,122
50,119,118,124,119,122,120
51,117,115,123,115,119,117
52,115,113,121,115,119,116
53,112,109,117,109,115,112
54,110,105,113,109,113,110
55,106,104,110,106,112,107
56,98,99,105,101,107,102
57,95,93,102,98,101,97
58,92,91,100,95,96,94
59,86,87,95,93,93,90
60,83,79,89,89,92,86
61,80,77,88,87,89,84
62,78,75,86,85,88,82
63,73,73,83,81,86,79
64,70,71,79,78,84,76
65,66,68,75,76,80,73
66,61,65,72,75,76,69
67,58,61,66,71,71,65
68,57,59,64,71,65,63
69,57,54,62,67,62,60
70,56,53,60,65,59,58
71,55,51,58,62,58,56
72,53,48,55,57,54,53
73,51,46,51,53,53,50
74,49,46,47,51,47,48
75,47,44,45,49,46,46
76,47,42,45,47,44,45
77,45,42,43,46,42,43
78,45,41,41,46,42,43
79,43,40,41,43,41,41
80,42,40,41,41,40,40
81,42,40,41,41,40,40
82,40,40,41,40,40,40
83,40,40,40,40,40,40
84,40,40,40,40,40,40
85,40,40,40,40,40,40
86,40,40,40,40,40,40
87,40,40,40,40,40,40
88,40,40,40,40,40,40
89,40,40,40,40,40,40
90,40,40,40,40,40,40
91,40,40,40,40,40,40
92,40,40,40,40,40,40
93,40,40,40,40,40,40
94,40,40,40,40,40,40
95,40,40,40,40,40,40
96,40,40,40,40,40,40
97,40,40,40,40,40,40
98,40,40,40,40,40,40
99,40,40,40,40,40,40
100,40,40,40,40,40,40
