round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,199
25,199
26,197
27,195
28,194
29,192
30,190
31,185
32,185
33,184
34,183
35,180
36,178
37,175
38,174
39,174
40,170
41,170
42,169
43,169
44,167
45,165
46,162
47,160
48,159
49,159
50,156
51,155
52,155
53,153
54,149
55,147
56,146
57,145
58,143
59,143
60,143
61,142
62,140
63,138
64,136
65,135
66,132
67,129
68,126
69,124
70,121
71,120
72,119
73,118
74,116
75,113
76,113
77,112
78,108
79,107
80,104
81,102
82,102
83,101
84,100
85,96
86,93
87,92
88,92
89,89
90,88
91,86
92,84
93,82
94,81
95,80
96,72
97,71
98,71
99,70
100,67
