round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,200
26,200
27,199
28,197
29,195
30,195
31,194
32,192
33,190
34,188
35,187
36,187
37,187
38,186
39,185
40,184
41,181
42,178
43,176
44,174
45,172
46,168
47,166
48,162
49,160
50,158
51,156
52,152
53,149
54,147
55,143
56,143
57,142
58,142
59,142
60,136
61,135
62,131
63,130
64,128
65,127
66,126
67,125
68,124
69,122
70,121
71,118
72,118
73,116
74,115
75,111
76,110
77,108
78,107
79,107
80,102
81,100
82,99
83,97
84,94
85,92
86,91
87,90
88,85
89,83
90,81
91,80
92,80
93,80
94,78
95,78
96,77
97,77
98,74
99,71
100,70
