round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,199
21,199
22,199
23,198
24,196
25,194
26,192
27,192
28,190
29,188
30,186
31,184
32,183
33,182
34,179
35,177
36,175
37,175
38,173
39,170
40,169
41,165
42,165
43,163
44,161
45,161
46,161
47,160
48,158
49,154
50,153
51,153
52,150
53,148
54,147
55,146
56,146
57,144
58,140
59,138
60,138
61,137
62,135
63,134
64,133
65,129
66,127
67,123
68,121
69,117
70,116
71,115
72,113
73,111
74,107
75,106
76,104
77,103
78,101
79,98
80,98
81,96
82,93
83,93
84,92
85,91
86,88
87,85
88,82
89,81
90,75
91,73
92,73
93,71
94,69
95,67
96,64
97,62
98,58
99,56
100,52
