round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,198
26,197
27,197
28,194
29,191
30,191
31,190
32,189
33,189
34,188
35,187
36,187
37,184
38,183
39,182
40,181
41,181
42,179
43,179
44,178
45,178
46,178
47,177
48,175
49,174
50,173
51,172
52,170
53,168
54,168
55,168
56,166
57,166
58,165
59,165
60,164
61,163
62,163
63,162
64,159
65,158
66,157
67,156
68,156
69,155
70,154
71,152
72,152
73,151
74,150
75,149
76,149
77,148
78,146
79,145
80,145
81,143
82,143
83,143
84,142
85,140
86,137
87,137
88,137
89,134
90,133
91,132
92,131
93,131
94,130
95,129
96,128
97,127
98,126
99,126
100,123
