round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,199
10,199
11,199
12,199
13,199
14,199
15,199
16,199
17,198
18,197
19,196
20,194
21,192
22,191
23,190
24,189
25,188
26,188
27,186
28,182
29,181
30,180
31,180
32,178
33,178
34,175
35,175
36,172
37,172
38,171
39,171
40,165
41,164
42,162
43,161
44,160
45,160
46,157
47,156
48,155
49,154
50,154
51,152
52,150
53,148
54,147
55,146
56,144
57,142
58,140
59,139
60,135
61,133
62,132
63,130
64,128
65,127
66,126
67,126
68,125
69,124
70,124
71,123
72,120
73,118
74,116
75,115
76,112
77,110
78,108
79,108
80,107
81,105
82,105
83,105
84,103
85,103
86,102
87,102
88,100
89,100
90,100
91,100
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,100
