round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,200
26,199
27,198
28,196
29,195
30,194
31,191
32,189
33,186
34,185
35,181
36,181
37,180
38,176
39,174
40,173
41,171
42,171
43,171
44,169
45,167
46,165
47,164
48,162
49,159
50,159
51,156
52,155
53,155
54,153
55,152
56,148
57,148
58,147
59,144
60,142
61,141
62,140
63,138
64,136
65,136
66,135
67,133
68,133
69,130
70,126
71,124
72,122
73,122
74,119
75,114
76,112
77,109
78,108
79,108
80,106
81,106
82,103
83,102
84,100
85,99
86,94
87,93
88,91
89,88
90,87
91,85
92,84
93,82
94,82
95,78
96,77
97,76
98,73
99,71
100,68
