round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,199
25,196
26,196
27,194
28,193
29,191
30,191
31,191
32,191
33,189
34,188
35,186
36,184
37,183
38,183
39,182
40,181
41,181
42,180
43,180
44,178
45,178
46,178
47,178
48,177
49,174
50,173
51,171
52,169
53,168
54,168
55,167
56,166
57,166
58,165
59,165
60,165
61,165
62,164
63,163
64,161
65,159
66,157
67,156
68,156
69,155
70,154
71,154
72,153
73,150
74,148
75,147
76,145
77,145
78,145
79,144
80,143
81,143
82,142
83,141
84,139
85,137
86,137
87,135
88,134
89,132
90,131
91,130
92,129
93,127
94,127
95,127
96,127
97,127
98,125
99,124
100,122
