round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,200
26,199
27,199
28,197
29,197
30,197
31,195
32,195
33,194
34,193
35,193
36,193
37,193
38,192
39,189
40,189
41,187
42,186
43,184
44,183
45,183
46,178
47,178
48,176
49,174
50,171
51,168
52,168
53,167
54,164
55,164
56,164
57,163
58,161
59,160
60,159
61,159
62,158
63,158
64,158
65,156
66,155
67,155
68,154
69,154
70,152
71,151
72,151
73,150
74,150
75,148
76,147
77,147
78,145
79,142
80,140
81,140
82,139
83,138
84,137
85,136
86,135
87,134
88,134
89,134
90,133
91,132
92,132
93,131
94,131
95,130
96,130
97,127
98,126
99,125
100,123
