round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,199
25,197
26,195
27,194
28,193
29,193
30,193
31,191
32,190
33,186
34,185
35,183
36,182
37,181
38,181
39,180
40,180
41,180
42,179
43,178
44,177
45,174
46,172
47,172
48,172
49,171
50,170
51,169
52,168
53,165
54,164
55,164
56,164
57,163
58,162
59,161
60,160
61,158
62,157
63,155
64,154
65,151
66,151
67,151
68,151
69,149
70,145
71,144
72,143
73,142
74,141
75,140
76,140
77,138
78,138
79,138
80,135
81,134
82,134
83,133
84,130
85,130
86,127
87,124
88,123
89,121
90,121
91,121
92,121
93,120
94,119
95,117
96,116
97,114
98,114
99,112
100,112
