round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,198
17,197
18,197
19,196
20,195
21,192
22,190
23,189
24,187
25,187
26,186
27,186
28,185
29,182
30,179
31,178
32,177
33,175
34,174
35,174
36,172
37,172
38,170
39,167
40,167
41,165
42,164
43,162
44,157
45,155
46,155
47,153
48,152
49,151
50,150
51,147
52,146
53,144
54,143
55,143
56,140
57,140
58,138
59,137
60,134
61,132
62,130
63,129
64,127
65,126
66,125
67,125
68,124
69,121
70,118
71,116
72,114
73,114
74,111
75,109
76,107
77,106
78,106
79,105
80,105
81,102
82,101
83,101
84,101
85,101
86,101
87,101
88,101
89,100
90,100
91,100
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,100
