round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,200
26,200
27,198
28,198
29,197
30,196
31,195
32,195
33,194
34,193
35,193
36,193
37,192
38,191
39,189
40,189
41,187
42,186
43,184
44,182
45,181
46,181
47,178
48,177
49,172
50,171
51,170
52,168
53,166
54,165
55,165
56,163
57,162
58,161
59,161
60,160
61,159
62,159
63,158
64,158
65,157
66,156
67,154
68,153
69,153
70,152
71,152
72,152
73,152
74,150
75,148
76,147
77,146
78,145
79,143
80,141
81,140
82,139
83,137
84,137
85,135
86,135
87,135
88,134
89,134
90,134
91,132
92,131
93,129
94,128
95,128
96,128
97,127
98,124
99,124
100,124
