round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,199,199
18,200,200,200,200,199,199
19,199,200,200,200,199,199
20,197,200,200,200,199,199
21,197,199,199,200,199,198
22,196,198,197,200,198,197
23,196,198,196,199,197,197
24,196,197,194,198,197,196
25,196,195,191,197,192,194
26,196,193,190,192,191,192
27,194,193,188,191,190,191
28,192,192,187,189,186,189
29,190,189,185,189,185,187
30,184,187,184,187,184,185
31,180,186,177,184,183,182
32,174,185,172,182,178,178
33,172,183,171,180,177,176
34,171,182,169,179,177,175
35,170,180,166,177,176,173
36,168,179,165,171,172,171
37,168,174,165,169,171,169
38,165,171,164,167,170,167
39,165,170,163,164,168,166
40,165,170,161,164,168,165
41,164,167,160,159,168,163
42,163,164,158,156,166,161
43,162,162,156,156,164,160
44,162,157,154,154,162,157
45,161,154,154,151,161,156
46,159,152,151,151,160,154
47,157,152,148,150,159,153
48,153,149,147,149,154,150
49,152,148,147,147,150,148
50,152,146,146,142,150,147
51,149,145,143,139,150,145
52,147,143,142,138,149,143
53,145,140,141,138,146,142
54,144,139,140,137,144,140
55,143,137,137,134,142,138
56,140,137,135,134,141,137
57,137,137,134,134,139,136
58,135,136,131,132,137,134
59,132,134,130,129,132,131
60,131,131,129,124,130,129
61,130,130,128,120,129,127
62,129,126,126,120,127,125
63,128,125,124,118,125,124
64,127,121,121,118,124,122
65,122,118,119,118,120,119
66,120,116,117,117,120,118
67,117,114,114,116,118,115
68,115,113,112,115,117,114
69,112,110,110,112,116,112
70,105,106,110,111,112,108
71,105,104,109,110,110,107
72,103,103,108,107,108,105
73,99,102,107,106,106,104
74,96,99,105,105,105,102
75,95,94,103,104,102,99
76,94,92,99,103,99,97
77,91,89,98,103,95,95
78,91,88,96,99,95,93
79,89,86,96,97,94,92
80,85,85,94,93,93,90
81,83,82,91,91,90,87
82,83,80,87,91,89,86
83,82,77,86,87,87,83
84,82,75,85,86,86,82
85,79,74,80,83,85,80
86,77,73,80,82,83,79
87,74,72,79,79,81,77
88,72,69,79,77,81,75
89,71,69,76,75,79,74
90,67,67,74,74,75,71
91,64,66,71,73,70,68
92,62,66,69,69,66,66
93,61,66,66,67,64,64
94,60,64,66,64,63,63
95,59,62,65,63,60,61
96,59,61,61,61,59,60
97,59,59,59,59,57,58
98,58,59,58,58,54,57
99,57,58,56,58,51,56
100,57,58,56,58,50,55
