round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,199
22,199
23,199
24,197
25,197
26,195
27,192
28,191
29,191
30,191
31,190
32,188
33,188
34,187
35,184
36,183
37,179
38,179
39,178
40,176
41,175
42,173
43,172
44,171
45,171
46,170
47,170
48,167
49,165
50,165
51,165
52,164
53,162
54,162
55,162
56,161
57,159
58,159
59,157
60,155
61,155
62,155
63,154
64,153
65,153
66,153
67,150
68,149
69,146
70,145
71,143
72,143
73,143
74,142
75,141
76,139
77,139
78,139
79,138
80,137
81,135
82,134
83,131
84,129
85,125
86,123
87,122
88,120
89,119
90,119
91,119
92,118
93,118
94,118
95,115
96,113
97,112
98,112
99,112
100,111
