round,battery_round_a,battery_round_b,battery_round_c,battery_round_d,battery_round_e,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,200,200,200
23,199,200,200,200,200,199
24,199,199,200,200,200,199
25,199,199,199,197,197,198
26,197,198,195,196,195,196
27,196,195,193,193,192,193
28,195,195,191,189,190,192
29,194,195,189,185,189,190
30,191,195,187,180,187,188
31,189,194,185,180,185,186
32,188,190,183,179,183,184
33,186,190,181,177,181,183
34,184,187,178,176,180,181
35,184,186,176,173,179,179
36,183,186,175,173,173,178
37,181,184,173,172,171,176
38,178,181,172,169,171,174
39,174,177,170,166,171,171
40,172,175,170,165,170,170
41,171,172,170,164,165,168
42,168,169,169,162,161,165
43,166,167,168,160,160,164
44,165,164,167,160,158,162
45,163,160,167,159,155,160
46,161,160,167,158,155,160
47,157,158,163,157,153,157
48,156,155,161,156,152,156
49,155,155,157,155,150,154
50,151,154,156,154,147,152
51,149,153,155,151,147,151
52,148,153,154,149,146,150
53,146,152,153,147,146,148
54,145,150,152,147,144,147
55,143,148,151,142,142,145
56,139,148,149,138,136,142
57,138,145,148,133,131,139
58,138,144,146,132,129,137
59,138,143,144,131,129,137
60,137,141,144,131,127,136
61,137,138,143,129,120,133
62,135,138,143,124,120,132
63,134,135,142,123,119,130
64,134,134,139,122,119,129
65,133,131,133,121,119,127
66,129,128,130,120,117,124
67,124,125,129,119,116,122
68,124,124,128,119,116,122
69,122,122,126,117,114,120
70,119,119,123,116,114,118
71,117,118,123,116,112,117
72,114,118,121,114,111,115
73,113,118,119,113,108,114
74,113,117,118,112,104,112
75,110,115,115,110,103,110
76,106,115,113,109,100,108
77,106,112,109,108,98,106
78,103,110,106,106,98,104
79,103,109,105,105,97,103
80,102,108,104,103,96,102
81,101,105,104,102,95,101
82,101,102,99,102,94,99
83,98,100,96,101,92,97
84,98,98,95,98,90,95
85,97,98,94,94,89,94
86,95,97,94,93,89,93
87,95,95,93,92,89,92
88,95,93,92,90,87,91
89,95,90,92,88,85,90
90,94,90,90,86,84,88
91,91,88,89,86,80,86
92,89,84,89,86,79,85
93,87,84,88,83,77,83
94,84,82,86,83,74,81
95,83,82,85,78,74,80
96,83,81,85,77,74,80
97,83,78,85,74,72,78
98,82,75,79,72,71,75
99,79,74,78,72,71,74
100,78,73,77,70,70,73
