round,battery_round_a,battery_round_b,battery_round_c,battery_round_d,average_Battery_Round
1,200,200,200,200,200
2,200,200,200,200,200
3,200,200,200,200,200
4,200,200,200,200,200
5,200,200,200,200,200
6,200,200,200,200,200
7,200,200,200,200,200
8,200,200,200,200,200
9,200,200,200,200,200
10,200,200,200,200,200
11,200,200,200,200,200
12,200,200,200,200,200
13,200,200,200,200,200
14,200,200,200,200,200
15,200,200,200,200,200
16,200,200,200,200,200
17,200,200,200,200,200
18,200,200,200,200,200
19,200,200,200,200,200
20,200,200,200,200,200
21,200,200,200,200,200
22,200,200,200,199,199
23,200,199,200,197,199
24,199,197,199,196,197
25,198,196,196,195,196
26,197,192,195,190,193
27,194,191,192,190,191
28,190,189,189,188,189
29,189,187,184,186,186
30,189,185,181,185,185
31,186,183,175,181,181
32,185,180,173,179,179
33,185,178,172,178,178
34,181,177,170,176,176
35,178,177,168,173,174
36,176,175,166,172,172
37,175,172,164,169,170
38,174,169,162,167,168
39,173,169,161,166,167
40,169,167,159,166,165
41,164,166,159,165,163
42,162,165,159,164,162
43,162,164,159,161,161
44,159,161,155,161,159
45,157,160,154,159,157
46,155,160,152,156,155
47,154,159,151,155,154
48,152,157,150,153,153
49,151,156,149,152,152
50,148,155,148,151,150
51,146,154,146,148,148
52,145,150,144,147,146
53,144,150,143,145,145
54,143,149,139,143,143
55,143,147,137,142,142
56,143,146,137,142,142
57,142,146,136,139,140
58,141,143,133,137,138
59,138,143,132,137,137
60,138,141,131,136,136
61,135,134,128,134,132
62,133,126,126,133,129
63,128,125,123,131,126
64,126,123,122,127,124
65,122,117,118,124,120
66,120,116,118,122,119
67,119,115,116,119,117
68,118,114,114,113,114
69,118,113,114,112,114
70,116,110,113,109,112
71,115,106,113,108,110
72,112,105,112,106,108
73,111,102,111,104,107
74,107,101,111,102,105
75,103,99,108,101,102
76,103,97,108,99,101
77,102,96,106,98,100
78,99,96,103,96,98
79,96,95,101,95,96
80,95,95,98,94,95
81,94,92,95,94,93
82,93,89,90,93,91
83,91,89,88,91,89
84,89,88,83,90,87
85,89,86,82,89,86
86,88,84,78,86,84
87,86,82,77,84,82
88,85,81,77,81,81
89,81,80,76,80,79
90,79,80,75,77,77
91,78,80,74,76,77
92,76,77,68,73,73
93,73,75,66,69,70
94,71,73,64,67,68
95,66,73,64,65,67
96,62,73,63,64,65
97,61,70,61,64,64
98,59,67,60,61,61
99,57,64,58,59,59
100,56,61,53,56,56
