round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,200,200,200
23,200,200,200,200,200,200
24,200,200,200,200,200,200
25,200,199,200,200,200,199
26,200,199,199,199,199,199
27,199,199,198,198,198,198
28,199,199,198,196,197,197
29,199,197,198,195,197,197
30,198,196,196,191,195,195
31,196,196,195,188,195,194
32,195,195,193,184,194,192
33,194,195,192,184,192,191
34,194,194,191,183,192,190
35,194,194,190,181,191,190
36,193,192,190,180,191,189
37,192,190,189,178,188,187
38,191,190,188,176,188,186
39,191,190,187,176,187,186
40,191,189,184,175,186,185
41,190,187,183,175,186,184
42,188,184,183,173,184,182
43,186,183,183,172,183,181
44,184,183,183,171,183,180
45,183,182,180,170,181,179
46,182,179,178,170,180,177
47,181,179,177,169,180,177
48,179,178,176,168,179,176
49,177,177,176,168,177,175
50,175,175,176,168,177,174
51,175,174,175,167,176,173
52,175,174,174,164,176,172
53,171,173,173,163,173,170
54,170,173,172,163,172,170
55,169,173,171,162,171,169
56,169,173,171,161,170,168
57,168,172,170,161,169,168
58,167,170,168,160,169,166
59,167,169,168,160,166,166
60,166,169,167,159,166,165
61,166,168,166,159,165,164
62,166,164,165,159,165,163
63,166,164,165,159,163,163
64,166,163,165,158,161,162
65,165,161,162,157,161,161
66,162,159,162,156,160,159
67,160,159,161,156,158,158
68,159,156,160,156,158,157
69,159,154,159,155,156,156
70,158,153,156,155,155,155
71,155,150,155,153,154,153
72,154,150,155,151,153,152
73,153,150,152,151,151,151
74,149,150,150,151,148,149
75,148,150,149,149,147,148
76,145,150,148,148,146,147
77,144,149,147,148,146,146
78,143,148,145,146,146,145
79,141,148,144,145,144,144
80,141,146,141,145,144,143
81,141,146,139,144,140,142
82,139,146,137,143,137,140
83,136,146,136,143,137,139
84,136,146,136,142,134,138
85,134,143,136,142,131,137
86,134,141,136,141,130,136
87,132,139,133,139,129,134
88,131,134,133,139,129,133
89,130,134,133,138,127,132
90,129,133,132,137,127,131
91,129,132,131,136,127,131
92,128,131,129,135,126,129
93,127,131,129,134,126,129
94,126,131,129,132,125,128
95,126,130,129,132,125,128
96,123,128,127,132,123,126
97,119,126,126,132,123,125
98,118,125,125,131,123,124
99,118,123,124,130,122,123
100,116,121,124,128,122,122
