round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,200,200,200
23,200,200,200,200,200,200
24,200,200,200,200,200,200
25,200,200,200,200,200,200
26,200,200,199,200,199,199
27,200,200,198,198,198,198
28,200,199,198,195,197,197
29,200,199,197,193,197,197
30,199,196,196,191,195,195
31,197,196,196,189,195,194
32,195,196,194,187,194,193
33,194,195,194,184,193,192
34,194,195,192,183,193,191
35,193,194,190,182,192,190
36,192,193,189,180,191,189
37,192,193,189,178,191,188
38,192,191,187,177,188,187
39,191,191,186,176,187,186
40,191,188,185,176,186,185
41,189,185,183,176,186,183
42,188,184,183,175,185,183
43,186,183,183,174,183,181
44,185,183,183,171,183,181
45,183,183,181,170,183,180
46,182,182,181,169,182,179
47,182,179,181,169,181,178
48,181,179,180,169,180,177
49,181,179,179,169,179,177
50,179,178,177,167,177,175
51,176,178,176,165,177,174
52,174,176,173,165,176,172
53,174,175,172,164,176,172
54,172,174,172,164,173,171
55,169,172,172,163,173,169
56,168,172,172,163,171,169
57,168,172,169,163,169,168
58,168,171,168,162,169,167
59,168,170,168,160,168,166
60,167,169,168,160,167,166
61,167,168,167,159,165,165
62,167,167,166,159,164,164
63,167,166,166,159,162,164
64,167,164,166,157,162,163
65,165,163,166,157,162,162
66,165,160,165,157,160,161
67,163,160,163,157,160,160
68,162,159,160,156,160,159
69,160,157,159,156,159,158
70,157,156,158,156,157,156
71,155,154,156,155,154,154
72,155,152,155,154,152,153
73,154,151,153,152,151,152
74,154,151,151,152,151,151
75,150,150,151,150,150,150
76,149,150,150,149,147,149
77,148,150,147,148,147,148
78,148,149,145,148,145,147
79,145,148,144,148,143,145
80,145,147,143,147,142,144
81,143,147,140,145,142,143
82,142,147,140,145,142,143
83,142,146,139,144,140,142
84,138,145,139,144,139,141
85,137,145,138,144,138,140
86,135,143,136,144,135,138
87,135,141,133,142,133,136
88,135,140,133,141,132,136
89,134,138,133,140,130,135
90,132,136,133,139,129,133
91,131,136,131,139,129,133
92,130,135,130,137,127,131
93,128,135,130,136,127,131
94,125,134,130,135,126,130
95,124,131,130,135,126,129
96,123,131,130,133,125,128
97,123,131,130,131,124,127
98,121,130,130,131,123,127
99,120,130,130,131,123,126
100,117,127,130,131,123,125
