round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,200,200,200
23,200,200,200,200,199,199
24,199,200,198,200,199,199
25,198,199,197,198,198,198
26,197,198,197,196,195,196
27,196,198,197,195,194,196
28,196,196,195,194,194,195
29,195,196,194,191,193,193
30,195,196,193,187,192,192
31,194,196,190,185,191,191
32,193,196,189,181,190,189
33,193,194,189,181,188,189
34,192,191,189,179,187,187
35,191,189,187,177,187,186
36,190,189,186,176,187,185
37,186,187,184,174,185,183
38,186,185,182,174,184,182
39,183,185,182,174,184,181
40,182,184,182,171,183,180
41,180,182,181,170,181,178
42,180,179,181,169,181,178
43,179,177,179,168,180,176
44,179,177,178,166,178,175
45,178,176,175,166,178,174
46,176,176,175,166,175,173
47,174,176,173,166,174,172
48,172,173,171,165,174,171
49,172,173,171,164,173,170
50,171,173,171,163,173,170
51,171,173,171,163,171,169
52,170,173,169,162,169,168
53,169,173,168,161,168,167
54,168,172,168,161,166,167
55,166,170,168,160,166,166
56,166,168,167,160,165,165
57,165,168,165,157,163,163
58,163,166,164,156,161,162
59,161,162,164,156,160,160
60,160,160,163,156,159,159
61,158,158,162,155,158,158
62,157,156,161,155,158,157
63,154,156,157,154,157,155
64,153,155,154,154,157,154
65,153,152,150,153,156,152
66,152,150,149,152,156,151
67,150,150,147,151,151,149
68,150,150,146,151,150,149
69,150,149,145,150,146,148
70,149,148,144,147,145,146
71,148,147,142,147,145,145
72,147,147,140,147,143,144
73,147,147,139,145,140,143
74,147,146,138,143,140,142
75,144,146,137,141,139,141
76,140,145,136,140,137,139
77,140,145,136,139,135,139
78,138,143,135,139,134,137
79,137,141,135,139,132,136
80,134,139,135,138,131,135
81,130,136,133,137,129,133
82,127,136,133,136,129,132
83,126,133,132,136,128,131
84,125,132,131,133,126,129
85,124,131,131,130,125,128
86,122,130,130,130,122,126
87,121,128,129,129,121,125
88,119,127,128,128,121,124
89,119,125,128,127,121,124
90,118,124,128,126,120,123
91,117,122,125,126,119,121
92,115,122,124,126,119,121
93,115,122,123,125,119,120
94,114,119,121,125,119,119
95,112,119,121,125,119,119
96,111,119,120,125,119,118
97,109,119,120,123,116,117
98,109,118,117,119,115,115
99,108,116,116,116,114,114
100,106,115,115,115,112,112
