round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,200,200,200
23,200,200,200,200,198,199
24,199,200,199,200,197,199
25,198,200,198,198,196,198
26,198,200,198,196,196,197
27,197,199,198,195,195,196
28,196,198,196,194,194,195
29,195,197,196,191,194,194
30,194,195,191,188,194,192
31,194,194,189,185,192,190
32,193,194,188,181,191,189
33,193,193,188,180,189,188
34,192,193,187,179,188,187
35,190,193,186,177,188,186
36,188,193,186,175,186,185
37,188,190,184,174,186,184
38,187,189,184,174,186,184
39,185,187,183,174,185,182
40,184,186,182,172,185,181
41,181,186,181,171,183,180
42,179,183,178,169,182,178
43,176,180,177,168,180,176
44,176,177,176,167,179,175
45,175,177,174,167,177,174
46,175,174,173,167,176,173
47,175,171,173,166,174,171
48,173,170,173,165,174,171
49,172,169,171,165,173,170
50,170,166,171,164,170,168
51,169,164,168,163,167,166
52,169,162,168,162,166,165
53,168,161,168,161,165,164
54,167,160,167,161,165,164
55,165,160,166,160,165,163
56,164,158,165,159,164,162
57,164,158,163,159,163,161
58,163,158,163,158,162,160
59,162,157,163,157,161,160
60,161,156,161,157,160,159
61,160,155,160,156,160,158
62,160,153,159,156,158,157
63,157,153,158,154,156,155
64,154,150,157,153,155,153
65,152,150,155,152,153,152
66,152,150,153,151,153,151
67,152,150,148,149,151,150
68,151,149,148,148,150,149
69,150,148,145,148,150,148
70,148,148,144,147,148,147
71,147,146,142,147,148,146
72,147,144,142,147,146,145
73,146,144,141,146,145,144
74,143,142,140,145,143,142
75,142,140,139,145,142,141
76,141,140,137,142,140,140
77,141,138,136,140,139,138
78,138,138,136,140,136,137
79,136,136,135,138,133,135
80,132,134,133,137,130,133
81,130,131,133,137,130,132
82,128,130,133,136,128,131
83,128,129,132,134,127,130
84,126,129,132,133,126,129
85,126,128,132,131,124,128
86,125,128,131,129,123,127
87,125,127,130,129,123,126
88,122,126,130,129,123,126
89,120,126,130,129,123,125
90,118,125,129,128,122,124
91,117,124,125,127,121,122
92,115,123,125,126,121,122
93,113,123,123,126,117,120
94,112,122,123,123,117,119
95,110,120,122,123,117,118
96,109,120,121,120,115,117
97,109,117,119,119,115,115
98,109,114,118,117,114,114
99,108,111,118,116,112,113
100,108,110,116,114,110,111
