round,battery_round_x,battery_round_y,battery_round_x,battery_round_y,battery_round,average_Battery_Round
1,200,200,200,200,200,200
2,200,200,200,200,200,200
3,200,200,200,200,200,200
4,200,200,200,200,200,200
5,200,200,200,200,200,200
6,200,200,200,200,200,200
7,200,200,200,200,200,200
8,200,200,200,200,200,200
9,200,200,200,200,200,200
10,200,200,200,200,200,200
11,200,200,200,200,200,200
12,200,200,200,200,200,200
13,200,200,200,200,200,200
14,200,200,200,200,200,200
15,200,200,200,200,200,200
16,200,200,200,200,200,200
17,200,200,200,200,200,200
18,200,200,200,200,200,200
19,200,200,200,200,200,200
20,200,200,200,200,200,200
21,200,200,200,200,200,200
22,200,200,200,200,200,200
23,200,200,200,200,200,200
24,200,200,200,200,199,199
25,200,200,199,200,199,199
26,200,200,199,198,199,199
27,200,200,199,197,199,199
28,200,200,199,193,197,197
29,200,199,197,193,196,197
30,197,199,196,190,194,195
31,196,198,195,186,194,193
32,195,196,193,185,194,192
33,194,195,191,184,194,191
34,194,195,191,183,193,191
35,193,195,189,181,191,189
36,192,193,189,179,190,188
37,192,193,187,179,188,187
38,191,192,186,177,187,186
39,191,192,184,177,186,186
40,189,190,184,175,186,184
41,187,189,183,175,185,183
42,184,187,183,175,184,182
43,184,185,183,174,183,181
44,183,184,183,173,183,181
45,182,184,181,171,181,179
46,181,183,180,170,181,179
47,179,180,180,170,181,178
48,177,179,177,169,179,176
49,177,177,176,169,178,175
50,177,175,175,168,177,174
51,176,172,174,166,176,172
52,176,171,172,165,176,172
53,174,168,172,163,173,170
54,173,167,172,163,171,169
55,171,167,171,163,171,168
56,169,163,170,163,171,167
57,168,163,169,163,169,166
58,168,163,168,162,168,165
59,167,162,167,161,168,165
60,167,160,167,160,165,163
61,166,159,166,160,164,163
62,166,158,166,159,163,162
63,165,157,166,157,162,161
64,164,156,165,157,161,160
65,162,154,165,157,161,159
66,161,154,161,157,161,158
67,160,154,158,156,161,157
68,160,153,158,156,159,157
69,158,153,157,155,158,156
70,155,152,155,153,156,154
71,155,152,154,153,153,153
72,153,152,154,153,151,152
73,151,152,151,152,151,151
74,149,149,151,151,148,149
75,148,149,149,150,147,148
76,147,147,145,150,146,147
77,145,146,145,149,145,146
78,145,145,144,147,144,145
79,144,142,144,147,142,143
80,143,142,143,145,140,142
81,142,142,141,144,138,141
82,140,140,138,144,137,139
83,138,139,137,143,135,138
84,138,137,137,143,134,137
85,137,137,134,141,132,136
86,136,136,134,141,132,135
87,133,136,134,141,131,135
88,131,133,134,141,128,133
89,130,133,133,139,128,132
90,129,133,132,137,128,131
91,128,132,131,137,127,131
92,126,131,130,136,125,129
93,125,131,130,134,123,128
94,123,130,130,134,123,128
95,121,129,129,133,123,127
96,120,128,127,131,123,125
97,119,126,126,129,123,124
98,119,126,126,127,122,124
99,117,125,125,127,122,123
100,117,124,125,126,122,122
