round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,199
25,198
26,196
27,195
28,194
29,190
30,188
31,188
32,188
33,187
34,185
35,184
36,183
37,183
38,179
39,176
40,174
41,171
42,170
43,170
44,167
45,165
46,165
47,161
48,160
49,158
50,154
51,153
52,149
53,147
54,146
55,145
56,145
57,145
58,144
59,144
60,144
61,144
62,140
63,137
64,135
65,129
66,127
67,126
68,123
69,123
70,122
71,120
72,118
73,117
74,114
75,113
76,111
77,109
78,108
79,105
80,105
81,105
82,103
83,102
84,101
85,99
86,98
87,97
88,96
89,94
90,93
91,92
92,90
93,88
94,87
95,86
96,86
97,85
98,81
99,77
100,75
