round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,197
26,195
27,192
28,190
29,189
30,187
31,185
32,183
33,181
34,180
35,179
36,173
37,171
38,171
39,171
40,170
41,165
42,161
43,160
44,158
45,155
46,155
47,153
48,152
49,150
50,147
51,147
52,146
53,146
54,144
55,142
56,136
57,131
58,129
59,129
60,127
61,120
62,120
63,119
64,119
65,119
66,117
67,116
68,116
69,114
70,114
71,112
72,111
73,108
74,104
75,103
76,100
77,98
78,98
79,97
80,96
81,95
82,94
83,92
84,90
85,89
86,89
87,89
88,87
89,85
90,84
91,80
92,79
93,77
94,74
95,74
96,74
97,72
98,71
99,71
100,70
