round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,199
14,199
15,199
16,199
17,199
18,198
19,196
20,196
21,195
22,195
23,195
24,194
25,192
26,189
27,187
28,185
29,183
30,179
31,175
32,172
33,170
34,165
35,162
36,156
37,154
38,152
39,149
40,149
41,144
42,142
43,140
44,138
45,135
46,130
47,128
48,128
49,124
50,123
51,121
52,117
53,115
54,112
55,110
56,106
57,99
58,96
59,95
60,91
61,86
62,82
63,79
64,75
65,73
66,71
67,66
68,63
69,62
70,60
71,54
72,51
73,50
74,47
75,46
76,46
77,45
78,44
79,42
80,42
81,40
82,40
83,40
84,40
85,40
86,40
87,40
88,40
89,40
90,40
91,40
92,40
93,40
94,40
95,40
96,40
97,40
98,40
99,40
100,40
