round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,199
25,198
26,197
27,194
28,190
29,189
30,189
31,186
32,185
33,185
34,181
35,178
36,176
37,175
38,174
39,173
40,169
41,164
42,162
43,162
44,159
45,157
46,155
47,154
48,152
49,151
50,148
51,146
52,145
53,144
54,143
55,143
56,143
57,142
58,141
59,138
60,138
61,135
62,133
63,128
64,126
65,122
66,120
67,119
68,118
69,118
70,116
71,115
72,112
73,111
74,107
75,103
76,103
77,102
78,99
79,96
80,95
81,94
82,93
83,91
84,89
85,89
86,88
87,86
88,85
89,81
90,79
91,78
92,76
93,73
94,71
95,66
96,62
97,61
98,59
99,57
100,56
