round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,200
26,199
27,198
28,197
29,197
30,195
31,195
32,194
33,192
34,192
35,191
36,191
37,188
38,188
39,187
40,186
41,186
42,184
43,183
44,183
45,181
46,180
47,180
48,179
49,177
50,177
51,176
52,176
53,173
54,172
55,171
56,170
57,169
58,169
59,166
60,166
61,165
62,165
63,163
64,161
65,161
66,160
67,158
68,158
69,156
70,155
71,154
72,153
73,151
74,148
75,147
76,146
77,146
78,146
79,144
80,144
81,140
82,137
83,137
84,134
85,131
86,130
87,129
88,129
89,127
90,127
91,127
92,126
93,126
94,125
95,125
96,123
97,123
98,123
99,122
100,122
