round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,199
25,198
26,196
27,196
28,192
29,191
30,190
31,189
32,189
33,186
34,185
35,185
36,183
37,180
38,177
39,177
40,174
41,171
42,170
43,170
44,169
45,166
46,164
47,163
48,162
49,157
50,156
51,154
52,150
53,150
54,147
55,145
56,145
57,145
58,145
59,145
60,145
61,145
62,143
63,141
64,140
65,139
66,136
67,132
68,129
69,126
70,124
71,124
72,121
73,119
74,117
75,115
76,113
77,111
78,109
79,109
80,108
81,107
82,105
83,103
84,101
85,100
86,99
87,98
88,98
89,98
90,98
91,95
92,95
93,94
94,92
95,91
96,88
97,88
98,87
99,86
100,84
