round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,199
17,199
18,199
19,199
20,199
21,198
22,198
23,198
24,197
25,195
26,195
27,194
28,193
29,191
30,190
31,187
32,185
33,185
34,185
35,183
36,183
37,181
38,180
39,178
40,177
41,177
42,177
43,176
44,176
45,174
46,174
47,173
48,172
49,172
50,172
51,171
52,168
53,165
54,165
55,164
56,164
57,162
58,162
59,160
60,159
61,158
62,158
63,158
64,158
65,156
66,154
67,153
68,152
69,150
70,147
71,147
72,144
73,143
74,142
75,142
76,141
77,140
78,139
79,138
80,137
81,135
82,134
83,130
84,130
85,129
86,127
87,126
88,125
89,125
90,124
91,124
92,124
93,120
94,119
95,116
96,116
97,116
98,114
99,113
100,112
