round,battery_round
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,199
25,199
26,199
27,199
28,197
29,196
30,194
31,194
32,194
33,194
34,193
35,191
36,190
37,188
38,187
39,186
40,186
41,185
42,184
43,183
44,183
45,181
46,181
47,181
48,179
49,178
50,177
51,176
52,176
53,173
54,171
55,171
56,171
57,169
58,168
59,168
60,165
61,164
62,163
63,162
64,161
65,161
66,161
67,161
68,159
69,158
70,156
71,153
72,151
73,151
74,148
75,147
76,146
77,145
78,144
79,142
80,140
81,138
82,137
83,135
84,134
85,132
86,132
87,131
88,128
89,128
90,128
91,127
92,125
93,123
94,123
95,123
96,123
97,123
98,122
99,122
100,122
